animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
mono-carvoeiro,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
mosquito,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
murucututu,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
mutum,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
onca-pintada,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
orangotango,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
palmetto,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6
papagaio-de-cara-roxa,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,1,2
pato-de-crista,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2
pavo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
peixe-boi,1,0,0,1,0,1,0,1,1,1,0,1,2,1,0,0,1
perereca-de-alcatrazes,0,0,1,0,0,1,0,0,1,1,0,0,4,0,0,0,5
pirarucu,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,4
pirilampo,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
python,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,3
queixada,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
ra-flecha-azul,0,0,1,0,0,1,0,0,1,1,1,0,4,0,0,0,5
ra-pimenta,0,0,1,0,0,1,0,0,1,1,0,0,4,0,0,0,5
raia-chita,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4
salamander,0,0,1,0,0,1,0,1,1,1,0,0,4,1,1,0,5
sapo-barriga-de-fogo,0,0,1,0,0,1,0,0,1,1,0,0,4,0,1,0,5
sapo-cururu,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5
sapo-de-chifre,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,1,5
sauva-limao,1,0,1,0,0,0,1,0,0,1,1,0,6,0,0,0,7
scallop,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7
silkworm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
siren,0,0,1,0,0,1,0,1,1,1,0,0,2,1,0,0,5
skink,0,0,1,0,0,0,0,1,1,1,0,0,4,1,0,0,3
snail,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
spider,0,0,1,0,0,0,1,1,0,1,1,0,8,0,0,0,7
squid,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,7
sucuri,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,3
tamandua-bandeira,1,0,0,1,0,0,0,0,1,1,0,0,4,1,0,0,1
tambaqui,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
tracaja,0,0,1,0,0,1,0,0,1,1,0,0,4,0,1,0,3
tree frog,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
trout,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4
tubarao-raposa,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
tucano-de-bico-preto,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
turtle,0,0,1,0,0,1,0,0,1,1,0,0,4,1,1,1,3
urso-de-oculos,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,0,1
urubu-rei,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
urutu-cruzeiro,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
vespa,0,0,1,0,1,0,1,0,0,1,1,0,6,0,0,0,6
wart toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
